Evaluating test set: 
Instance 0 Actual: 3.56984, Predicted: 4.08843
Instance 1 Actual: 4.66457, Predicted: 3.44315
Instance 2 Actual: 4.59734, Predicted: 3.41259
Instance 3 Actual: 4.85072, Predicted: 3.71555
Instance 4 Actual: 3.65820, Predicted: 3.94655
Instance 5 Actual: 3.64246, Predicted: 4.06898
Instance 6 Actual: 3.67852, Predicted: 4.07316
Instance 7 Actual: 3.47276, Predicted: 4.17185
Instance 8 Actual: 4.53392, Predicted: 3.70369
Instance 9 Actual: 3.72444, Predicted: 3.69078
Instance 10 Actual: 3.74507, Predicted: 3.68654
Instance 11 Actual: 3.64404, Predicted: 4.03344
Instance 12 Actual: 3.72346, Predicted: 3.44463
Instance 13 Actual: 3.56773, Predicted: 3.43219
Instance 14 Actual: 3.78032, Predicted: 3.43915
Instance 15 Actual: 4.69576, Predicted: 3.52995
Instance 16 Actual: 3.95999, Predicted: 3.57859
Instance 17 Actual: 3.27277, Predicted: 3.24562
Instance 18 Actual: 3.61511, Predicted: 3.31528
Instance 19 Actual: 3.70586, Predicted: 3.32951
Instance 20 Actual: 3.60938, Predicted: 3.31833
Instance 21 Actual: 3.51481, Predicted: 3.31320
Instance 22 Actual: 2.37658, Predicted: 3.26006
Instance 23 Actual: 3.52608, Predicted: 3.41490
Instance 24 Actual: 3.80618, Predicted: 3.62747
Instance 25 Actual: 3.83734, Predicted: 4.30113
Instance 26 Actual: 2.59218, Predicted: 3.38915
Instance 27 Actual: 4.03519, Predicted: 3.93365
Instance 28 Actual: 3.71029, Predicted: 3.46853
Instance 29 Actual: 3.57657, Predicted: 3.40494
Instance 30 Actual: 3.46731, Predicted: 3.70429
Instance 31 Actual: 3.61215, Predicted: 3.43010
Instance 32 Actual: 2.65514, Predicted: 3.38120
Instance 33 Actual: 4.05767, Predicted: 3.74979
Instance 34 Actual: 3.75618, Predicted: 3.49450
Instance 35 Actual: 3.85685, Predicted: 3.49347
Instance 36 Actual: 3.98245, Predicted: 3.86372
Instance 37 Actual: 5.08971, Predicted: 3.57796
Instance 38 Actual: 3.75815, Predicted: 4.02890
Instance 39 Actual: 3.69002, Predicted: 3.42990
Instance 40 Actual: 3.61469, Predicted: 3.40438
Instance 41 Actual: 3.26600, Predicted: 3.41799
Instance 42 Actual: 4.53757, Predicted: 4.03744
Instance 43 Actual: 3.72738, Predicted: 4.07557
Instance 44 Actual: 3.72526, Predicted: 3.70312
Instance 45 Actual: 3.64464, Predicted: 3.45735
Instance 46 Actual: 4.99483, Predicted: 5.66359
Instance 47 Actual: 3.85854, Predicted: 3.85660
Instance 48 Actual: 4.15594, Predicted: 3.80534
Instance 49 Actual: 4.43226, Predicted: 3.79794
Instance 50 Actual: 4.31235, Predicted: 3.67545
Instance 51 Actual: 3.80726, Predicted: 3.53347
Instance 52 Actual: 3.76238, Predicted: 3.52433
Instance 53 Actual: 3.76923, Predicted: 4.18039
Instance 54 Actual: 3.97900, Predicted: 4.07635
Instance 55 Actual: 3.92942, Predicted: 4.08468
Instance 56 Actual: 3.57933, Predicted: 3.55954
Instance 57 Actual: 4.44914, Predicted: 3.69513
Instance 58 Actual: 3.85902, Predicted: 4.14465
Instance 59 Actual: 3.72346, Predicted: 3.85940
Instance 60 Actual: 4.74445, Predicted: 3.64863
Instance 61 Actual: 3.76938, Predicted: 3.47358
Instance 62 Actual: 4.00173, Predicted: 4.20542
Instance 63 Actual: 5.18621, Predicted: 4.43307
Instance 64 Actual: 5.19923, Predicted: 3.72981
Instance 65 Actual: 3.81184, Predicted: 4.21158
Instance 66 Actual: 3.68485, Predicted: 3.91774
Instance 67 Actual: 4.20085, Predicted: 3.94269
Instance 68 Actual: 4.18435, Predicted: 3.52380
Instance 69 Actual: 3.97900, Predicted: 4.10856
Instance 70 Actual: 3.97109, Predicted: 3.69069
Instance 71 Actual: 3.88829, Predicted: 4.07131
Instance 72 Actual: 3.71933, Predicted: 3.41619
Instance 73 Actual: 3.85321, Predicted: 4.18377
Instance 74 Actual: 4.34100, Predicted: 3.53260
Instance 75 Actual: 3.75997, Predicted: 4.38451
Instance 76 Actual: 4.56923, Predicted: 3.84142
Instance 77 Actual: 4.59770, Predicted: 3.82642
Instance 78 Actual: 3.74320, Predicted: 4.22986
Instance 79 Actual: 3.78219, Predicted: 4.18426
Instance 80 Actual: 4.06009, Predicted: 3.52907
Instance 81 Actual: 3.69355, Predicted: 3.80096
Instance 82 Actual: 4.82467, Predicted: 4.52462
Instance 83 Actual: 3.74241, Predicted: 3.83011
Instance 84 Actual: 3.70243, Predicted: 4.16761
Instance 85 Actual: 3.71332, Predicted: 3.66471
Instance 86 Actual: 3.70191, Predicted: 4.13423
Instance 87 Actual: 3.69090, Predicted: 4.14085
Instance 88 Actual: 3.98677, Predicted: 4.11320
Instance 89 Actual: 3.68124, Predicted: 4.25832
Instance 90 Actual: 3.72263, Predicted: 4.22325
Instance 91 Actual: 3.79127, Predicted: 4.28039
Instance 92 Actual: 4.66200, Predicted: 3.83742
Instance 93 Actual: 3.92490, Predicted: 4.03130
Instance 94 Actual: 3.73239, Predicted: 4.14449
Instance 95 Actual: 3.67062, Predicted: 4.19797
Instance 96 Actual: 3.54158, Predicted: 3.81023
Instance 97 Actual: 3.57726, Predicted: 3.45538
Instance 98 Actual: 3.61868, Predicted: 4.09048
Instance 99 Actual: 3.62201, Predicted: 3.78436
Training set mean squared error: 0.33584
Test set mean squared error: 0.27247
