Evaluating test set: 
Instance 0 Actual: 3.56984, Predicted: 3.63927
Instance 1 Actual: 4.66457, Predicted: 4.66480
Instance 2 Actual: 4.59734, Predicted: 4.25802
Instance 3 Actual: 4.85072, Predicted: 4.97109
Instance 4 Actual: 3.65820, Predicted: 3.39280
Instance 5 Actual: 3.64246, Predicted: 3.64917
Instance 6 Actual: 3.67852, Predicted: 3.74635
Instance 7 Actual: 3.47276, Predicted: 3.64972
Instance 8 Actual: 4.53392, Predicted: 3.99150
Instance 9 Actual: 3.72444, Predicted: 3.82295
Instance 10 Actual: 3.74507, Predicted: 3.73823
Instance 11 Actual: 3.64404, Predicted: 3.64696
Instance 12 Actual: 3.72346, Predicted: 4.00409
Instance 13 Actual: 3.56773, Predicted: 3.66048
Instance 14 Actual: 3.78032, Predicted: 4.11480
Instance 15 Actual: 4.69576, Predicted: 4.60725
Instance 16 Actual: 3.95999, Predicted: 4.25637
Instance 17 Actual: 3.27277, Predicted: 3.19033
Instance 18 Actual: 3.61511, Predicted: 3.50058
Instance 19 Actual: 3.70586, Predicted: 3.55926
Instance 20 Actual: 3.60938, Predicted: 3.56722
Instance 21 Actual: 3.51481, Predicted: 3.62736
Instance 22 Actual: 2.37658, Predicted: 2.96538
Instance 23 Actual: 3.52608, Predicted: 3.65348
Instance 24 Actual: 3.80618, Predicted: 3.84737
Instance 25 Actual: 3.83734, Predicted: 3.83117
Instance 26 Actual: 2.59218, Predicted: 3.21987
Instance 27 Actual: 4.03519, Predicted: 4.22100
Instance 28 Actual: 3.71029, Predicted: 3.55786
Instance 29 Actual: 3.57657, Predicted: 3.33740
Instance 30 Actual: 3.46731, Predicted: 3.67096
Instance 31 Actual: 3.61215, Predicted: 3.49453
Instance 32 Actual: 2.65514, Predicted: 3.25331
Instance 33 Actual: 4.05767, Predicted: 4.35765
Instance 34 Actual: 3.75618, Predicted: 3.62752
Instance 35 Actual: 3.85685, Predicted: 3.89449
Instance 36 Actual: 3.98245, Predicted: 4.16241
Instance 37 Actual: 5.08971, Predicted: 4.54595
Instance 38 Actual: 3.75815, Predicted: 3.74771
Instance 39 Actual: 3.69002, Predicted: 3.79772
Instance 40 Actual: 3.61469, Predicted: 3.68708
Instance 41 Actual: 3.26600, Predicted: 3.32490
Instance 42 Actual: 4.53757, Predicted: 4.61262
Instance 43 Actual: 3.72738, Predicted: 3.77237
Instance 44 Actual: 3.72526, Predicted: 3.57212
Instance 45 Actual: 3.64464, Predicted: 3.57839
Instance 46 Actual: 4.99483, Predicted: 5.22386
Instance 47 Actual: 3.85854, Predicted: 4.47981
Instance 48 Actual: 4.15594, Predicted: 4.53961
Instance 49 Actual: 4.43226, Predicted: 4.73269
Instance 50 Actual: 4.31235, Predicted: 4.55350
Instance 51 Actual: 3.80726, Predicted: 4.21131
Instance 52 Actual: 3.76238, Predicted: 4.06432
Instance 53 Actual: 3.76923, Predicted: 3.97808
Instance 54 Actual: 3.97900, Predicted: 4.09143
Instance 55 Actual: 3.92942, Predicted: 3.82675
Instance 56 Actual: 3.57933, Predicted: 3.76833
Instance 57 Actual: 4.44914, Predicted: 4.53441
Instance 58 Actual: 3.85902, Predicted: 3.86152
Instance 59 Actual: 3.72346, Predicted: 3.98924
Instance 60 Actual: 4.74445, Predicted: 4.73269
Instance 61 Actual: 3.76938, Predicted: 4.03202
Instance 62 Actual: 4.00173, Predicted: 4.45173
Instance 63 Actual: 5.18621, Predicted: 4.64559
Instance 64 Actual: 5.19923, Predicted: 4.73269
Instance 65 Actual: 3.81184, Predicted: 4.00574
Instance 66 Actual: 3.68485, Predicted: 3.74870
Instance 67 Actual: 4.20085, Predicted: 4.30810
Instance 68 Actual: 4.18435, Predicted: 4.52489
Instance 69 Actual: 3.97900, Predicted: 4.01323
Instance 70 Actual: 3.97109, Predicted: 4.31953
Instance 71 Actual: 3.88829, Predicted: 3.77522
Instance 72 Actual: 3.71933, Predicted: 3.66202
Instance 73 Actual: 3.85321, Predicted: 3.85266
Instance 74 Actual: 4.34100, Predicted: 4.15766
Instance 75 Actual: 3.75997, Predicted: 3.88093
Instance 76 Actual: 4.56923, Predicted: 4.73269
Instance 77 Actual: 4.59770, Predicted: 4.60015
Instance 78 Actual: 3.74320, Predicted: 3.91729
Instance 79 Actual: 3.78219, Predicted: 3.82745
Instance 80 Actual: 4.06009, Predicted: 4.51076
Instance 81 Actual: 3.69355, Predicted: 3.90375
Instance 82 Actual: 4.82467, Predicted: 4.86005
Instance 83 Actual: 3.74241, Predicted: 3.80979
Instance 84 Actual: 3.70243, Predicted: 3.86954
Instance 85 Actual: 3.71332, Predicted: 3.80744
Instance 86 Actual: 3.70191, Predicted: 3.64101
Instance 87 Actual: 3.69090, Predicted: 3.71990
Instance 88 Actual: 3.98677, Predicted: 4.33550
Instance 89 Actual: 3.68124, Predicted: 3.97330
Instance 90 Actual: 3.72263, Predicted: 3.86308
Instance 91 Actual: 3.79127, Predicted: 3.91853
Instance 92 Actual: 4.66200, Predicted: 4.37071
Instance 93 Actual: 3.92490, Predicted: 3.76994
Instance 94 Actual: 3.73239, Predicted: 3.74212
Instance 95 Actual: 3.67062, Predicted: 3.74694
Instance 96 Actual: 3.54158, Predicted: 3.48215
Instance 97 Actual: 3.57726, Predicted: 3.64941
Instance 98 Actual: 3.61868, Predicted: 3.39179
Instance 99 Actual: 3.62201, Predicted: 3.46994
Training set mean squared error: 0.04886
Test set mean squared error: 0.05775
